gold_transition\pred_transition,Clarify->Clarify,Clarify->Evaluate,Clarify->Finalize,Clarify->Ideate,Evaluate->Clarify,Evaluate->Evaluate,Evaluate->Finalize,Evaluate->Ideate,Finalize->Clarify,Finalize->Evaluate,Finalize->Finalize,Finalize->Ideate,Ideate->Clarify,Ideate->Evaluate,Ideate->Finalize,Ideate->Ideate,UNK
Clarify->Clarify,41,1,0,1,0,23,0,0,0,0,0,0,0,0,0,1,0
Clarify->Evaluate,1,0,0,0,0,7,0,0,0,0,0,0,0,0,0,1,0
Clarify->Finalize,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
Clarify->Ideate,5,0,0,6,0,9,0,3,0,0,0,0,0,0,0,5,0
Evaluate->Clarify,0,0,0,0,1,14,0,0,0,0,0,0,0,0,0,0,0
Evaluate->Evaluate,0,1,0,0,0,64,0,1,0,1,1,0,0,4,0,3,0
Evaluate->Finalize,0,0,0,0,1,9,6,0,0,0,5,0,0,0,3,1,0
Evaluate->Ideate,1,0,0,0,0,43,0,40,0,0,0,1,0,0,0,4,0
Finalize->Clarify,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Finalize->Evaluate,0,0,0,0,0,6,0,0,0,1,7,0,0,1,0,0,0
Finalize->Finalize,2,0,1,0,0,8,1,0,0,0,97,0,0,0,1,0,0
Finalize->Ideate,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,19,0
Ideate->Clarify,1,0,0,0,0,3,0,0,0,0,0,0,1,1,0,6,0
Ideate->Evaluate,0,3,0,0,1,46,0,0,0,0,0,0,0,45,0,10,0
Ideate->Finalize,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,19,0
Ideate->Ideate,6,0,0,2,0,166,0,12,0,0,0,0,0,10,0,326,0
UNK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
