gold_transition\pred_transition,Clarify->Clarify,Clarify->Evaluate,Clarify->Finalize,Clarify->Ideate,Evaluate->Clarify,Evaluate->Evaluate,Evaluate->Finalize,Evaluate->Ideate,Finalize->Clarify,Finalize->Evaluate,Finalize->Finalize,Finalize->Ideate,Ideate->Clarify,Ideate->Evaluate,Ideate->Finalize,Ideate->Ideate,UNK
Clarify->Clarify,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clarify->Evaluate,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clarify->Finalize,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clarify->Ideate,4,0,0,2,0,0,0,3,0,0,0,0,0,0,0,2,0
Evaluate->Clarify,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Evaluate->Evaluate,0,0,0,0,0,12,0,1,0,1,0,0,0,3,0,2,0
Evaluate->Finalize,0,0,0,0,0,2,3,0,0,0,5,0,0,0,2,0,0
Evaluate->Ideate,1,0,0,0,0,15,0,32,0,0,0,0,0,0,0,3,0
Finalize->Clarify,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Finalize->Evaluate,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0
Finalize->Finalize,0,0,0,0,0,1,0,0,0,0,91,0,0,0,0,0,0
Finalize->Ideate,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,19,0
Ideate->Clarify,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0
Ideate->Evaluate,0,2,0,0,0,10,0,0,0,0,0,0,0,39,0,7,0
Ideate->Finalize,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,18,0
Ideate->Ideate,4,0,0,2,0,53,0,7,0,0,0,0,0,2,0,297,0
UNK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
