gold_transition\pred_transition,Clarify->Clarify,Clarify->Evaluate,Clarify->Finalize,Clarify->Ideate,Evaluate->Clarify,Evaluate->Evaluate,Evaluate->Finalize,Evaluate->Ideate,Finalize->Clarify,Finalize->Evaluate,Finalize->Finalize,Finalize->Ideate,Ideate->Clarify,Ideate->Evaluate,Ideate->Finalize,Ideate->Ideate,UNK
Clarify->Clarify,18,0,0,1,0,17,0,0,0,0,0,0,0,0,0,1,0
Clarify->Evaluate,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0
Clarify->Finalize,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clarify->Ideate,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,1,0
Evaluate->Clarify,0,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0
Evaluate->Evaluate,0,0,0,0,0,36,0,0,0,0,1,0,0,0,0,1,0
Evaluate->Finalize,0,0,0,0,1,3,2,0,0,0,0,0,0,0,1,1,0
Evaluate->Ideate,0,0,0,0,0,17,0,5,0,0,0,1,0,0,0,1,0
Finalize->Clarify,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Finalize->Evaluate,0,0,0,0,0,3,0,0,0,1,1,0,0,0,0,0,0
Finalize->Finalize,2,0,1,0,0,0,0,0,0,0,3,0,0,0,1,0,0
Finalize->Ideate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ideate->Clarify,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,1,0
Ideate->Evaluate,0,0,0,0,0,22,0,0,0,0,0,0,0,5,0,2,0
Ideate->Finalize,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ideate->Ideate,0,0,0,0,0,69,0,1,0,0,0,0,0,3,0,20,0
UNK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
