gold_transition\pred_transition,Clarify->Clarify,Clarify->Evaluate,Clarify->Finalize,Clarify->Ideate,Evaluate->Clarify,Evaluate->Evaluate,Evaluate->Finalize,Evaluate->Ideate,Finalize->Clarify,Finalize->Evaluate,Finalize->Finalize,Finalize->Ideate,Ideate->Clarify,Ideate->Evaluate,Ideate->Finalize,Ideate->Ideate,UNK
Clarify->Clarify,4,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
Clarify->Evaluate,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Clarify->Finalize,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
Clarify->Ideate,1,0,0,1,0,4,0,0,0,0,0,0,0,0,0,2,0
Evaluate->Clarify,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
Evaluate->Evaluate,0,1,0,0,0,16,0,0,0,0,0,0,0,1,0,0,0
Evaluate->Finalize,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0
Evaluate->Ideate,0,0,0,0,0,11,0,3,0,0,0,0,0,0,0,0,0
Finalize->Clarify,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Finalize->Evaluate,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0
Finalize->Finalize,0,0,0,0,0,7,1,0,0,0,3,0,0,0,0,0,0
Finalize->Ideate,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Ideate->Clarify,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0
Ideate->Evaluate,0,1,0,0,1,14,0,0,0,0,0,0,0,1,0,1,0
Ideate->Finalize,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Ideate->Ideate,2,0,0,0,0,44,0,4,0,0,0,0,0,5,0,9,0
UNK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
